corpus,id,titulo
RITA,40,Perto do fogo
RITA,41,Só de você
RITA,42,Tititi
RITA,43,Corre-corre
RITA,44,Amor objeto
RITA,45,Ambição
RITA,46,Ando jururu
RITA,47,Xuxuzinho
RITA,48,Fruto proibido
RITA,49,Livre outra vez
RITA,50,O futuro me absolve
SAMBA,01,Acreditar
SAMBA,02,A voz do morro
SAMBA,03,A flor e o espinho
SAMBA,04,Agoniza mas não morre
SAMBA,05,Agora é cinza
SAMBA,06,Água na boca
SAMBA,07,Ah! Que saudades da Amélia
SAMBA,08,Alguém me avisou
SAMBA,09,Amor aventureiro
SAMBA,10,Amor de poeta
SAMBA,11,A vida me fez assim
SAMBA,12,Cabide de molambo
SAMBA,13,Canta, canta, minha gente
SAMBA,14,Confessa, meu bem
SAMBA,15,Essa nega que me dá
SAMBA,16,Fala, meu louro
SAMBA,17,Jura
SAMBA,18,Macaco, olha o teu rabo
SAMBA,19,Me deixa em paz
SAMBA,20,Mora na filosofia
SAMBA,21,O meu nome já caiu no esquecimento
SAMBA,22,Pelo telefone
SAMBA,23,Quem são eles
SAMBA,24,Vai, saudade
SAMBA,25,Se você jurar
SAMBA,26,Papagaio come milho
SAMBA,27,Adeus, batucada
SAMBA,28,Brasil pandeiro
SAMBA,29,Festa para um rei negro
SAMBA,30,Exaltação à Mangueira
SAMBA,31,Foi um rio que passou em minha vida
SAMBA,32,Os cinco bailes da história do Rio
SAMBA,33,Coisa de pele
SAMBA,34,Isaura
SAMBA,35,Palpite infeliz
SAMBA,36,Falsa baiana
SAMBA,37,Apoteose ao samba
SAMBA,38,Beija-me
SAMBA,39,Eu queria um retratinho de você
SAMBA,40,Feitio de oração
SAMBA,41,Nega maluca
SAMBA,42,Filosofia
SAMBA,43,Abre a janela
SAMBA,44,A primeira vez
SAMBA,45,Se acaso você chegasse
SAMBA,46,Coisa da antiga
SAMBA,47,Lá vem a baiana
SAMBA,48,Alô, alô
SAMBA,49,Camisa amarela
SAMBA,50,Rapaz folgado
