corpus,musica,0,1,2,3,4,5,6,7,8,9,10,11
CHORO,10,69,0,0,53,1,0,40,0,1,52,0,0
CHORO,11,61,0,1,30,1,0,15,0,1,36,1,0
CHORO,12,78,0,0,81,0,0,82,0,0,81,0,0
CHORO,13,94,0,0,49,0,0,71,0,0,71,0,0
CHORO,14,65,0,0,70,0,0,61,0,0,79,0,0
CHORO,15,92,0,0,72,0,0,61,0,0,94,0,0
CHORO,16,90,0,1,80,1,0,87,0,1,83,1,0
CHORO,17,77,0,0,80,0,0,74,0,0,86,0,0
CHORO,18,71,0,0,45,0,0,45,0,0,73,0,0
CHORO,19,72,0,0,48,5,0,44,0,5,55,0,0
CHORO,20,109,0,0,0,0,0,1,0,0,0,0,0
CHORO,21,77,0,0,46,0,0,62,0,0,62,0,0
CHORO,22,73,0,2,65,2,0,69,0,2,82,2,0
CHORO,23,139,0,0,0,0,0,52,0,0,0,0,0
CHORO,24,75,0,0,77,0,0,87,0,0,82,0,0
CHORO,25,80,0,0,28,0,0,79,0,0,47,0,0
CHORO,26,80,0,0,54,0,0,62,0,0,71,0,0
CHORO,27,48,0,0,0,0,0,29,0,0,0,0,0
CHORO,28,189,0,0,73,65,0,87,0,65,75,0,0
CHORO,29,80,0,0,0,1,0,86,0,1,0,0,0
CHORO,30,85,0,0,71,0,0,11,0,0,74,0,0
CHORO,31,74,0,0,66,0,0,56,0,0,69,0,0
CHORO,32,94,0,0,57,0,0,3,0,0,57,0,0
